ciclo,alimento,n_amostras,n_insatisfatorias
2024,Abobrinha,223,58
2024,Aveia,241,43
2024,Banana,222,27
2024,Cebola,238,31
2024,Couve,204,71
2024,Laranja,240,93
2024,Maçã,235,63
2024,Mamão,221,47
2024,Milho,236,8
2024,Pepino,217,99
2024,Pera,254,18
2024,Soja,85,7
2024,Trigo,234,5
2024,Uva,234,66
